City,lat ,lon
Douglas,31.3446,-109.5453
Flagstaff,35.2353,-111.721
Grand Canyon,36.0544,-112.1393
Kayenta,36.6486,-110.1876
Kingman,35.2481,-113.764
Phoenix,33.5092,-112.1009
Prescott,34.54,-112.4685
Safford,32.834,-109.7076
Show Low,34.2338,-110.0772
Sierra Vista,31.5545,-110.3037
Tucson,32.2338,-110.95
Yuma,32.7253,-114.6244
Albuquerque,35.0845,-106.6511
Carlsbad,32.4207,-104.2288
Clovis,34.4048,-103.2052
Deming,32.2687,-107.7586
Farmington,36.7281,-108.2187
Gallup,35.5281,-108.7426
Las Cruces,32.3123,-106.7783
Raton,36.6873,-104.2485
Roswell,33.3943,-104.523
Santa Fe,35.687,-105.9378
Socorro,33.8974,-107.0261
Tucumcari,35.0965,-103.7766
